Epoch 83 | Train Loss: 0.18054935 | Test Loss: 0.16989089 | Train Error: -1.00002520 | Test Error: -0.73700267 | Train Error_abs: 4.09514585 | Test Error_abs: 3.19019500
Epoch 84 | Train Loss: 0.17935951 | Test Loss: 0.16877788 | Train Error: -0.61837094 | Test Error: -0.73742641 | Train Error_abs: 3.99860382 | Test Error_abs: 3.16807898
Epoch 85 | Train Loss: 0.17835685 | Test Loss: 0.16747151 | Train Error: -0.87712254 | Test Error: -0.73414151 | Train Error_abs: 3.95699288 | Test Error_abs: 3.16732551
Epoch 86 | Train Loss: 0.17709033 | Test Loss: 0.16642015 | Train Error: -0.75276356 | Test Error: -0.74070037 | Train Error_abs: 3.80062934 | Test Error_abs: 3.15017097
Epoch 87 | Train Loss: 0.17628747 | Test Loss: 0.16524685 | Train Error: -0.73017009 | Test Error: -0.74034891 | Train Error_abs: 3.71025563 | Test Error_abs: 3.14364290
Epoch 88 | Train Loss: 0.17506637 | Test Loss: 0.16415697 | Train Error: -0.79634127 | Test Error: -0.74411229 | Train Error_abs: 3.95652313 | Test Error_abs: 3.14233666
Epoch 89 | Train Loss: 0.17386451 | Test Loss: 0.16317920 | Train Error: -0.96916999 | Test Error: -0.74854225 | Train Error_abs: 3.82618630 | Test Error_abs: 3.13026385
Epoch 90 | Train Loss: 0.17332647 | Test Loss: 0.16233038 | Train Error: -0.58434061 | Test Error: -0.75816306 | Train Error_abs: 3.98470621 | Test Error_abs: 3.11973586
Epoch 91 | Train Loss: 0.17234654 | Test Loss: 0.16133607 | Train Error: -0.93740032 | Test Error: -0.76081935 | Train Error_abs: 3.76744371 | Test Error_abs: 3.11723486
Epoch 92 | Train Loss: 0.17152862 | Test Loss: 0.16051466 | Train Error: -0.89286548 | Test Error: -0.77110366 | Train Error_abs: 3.97581822 | Test Error_abs: 3.11458484
Epoch 93 | Train Loss: 0.17096021 | Test Loss: 0.15967626 | Train Error: -0.81751404 | Test Error: -0.77013926 | Train Error_abs: 3.90198432 | Test Error_abs: 3.11921248
Epoch 94 | Train Loss: 0.17017583 | Test Loss: 0.15913963 | Train Error: -0.92424068 | Test Error: -0.78087718 | Train Error_abs: 3.94114841 | Test Error_abs: 3.10533421
Epoch 95 | Train Loss: 0.16943033 | Test Loss: 0.15863770 | Train Error: -0.83764763 | Test Error: -0.78548637 | Train Error_abs: 3.99549647 | Test Error_abs: 3.08340169
Epoch 96 | Train Loss: 0.16892544 | Test Loss: 0.15811847 | Train Error: -0.97929969 | Test Error: -0.79203743 | Train Error_abs: 4.12671911 | Test Error_abs: 3.07088537
Epoch 97 | Train Loss: 0.16850435 | Test Loss: 0.15755183 | Train Error: -0.81428562 | Test Error: -0.79290922 | Train Error_abs: 3.79341223 | Test Error_abs: 3.08063840
Epoch 98 | Train Loss: 0.16781398 | Test Loss: 0.15702394 | Train Error: -0.87046881 | Test Error: -0.79173754 | Train Error_abs: 3.91513566 | Test Error_abs: 3.08785524
Epoch 99 | Train Loss: 0.16718317 | Test Loss: 0.15663685 | Train Error: -0.83031730 | Test Error: -0.78280226 | Train Error_abs: 4.14251061 | Test Error_abs: 3.09605518
Epoch 100 | Train Loss: 0.16696851 | Test Loss: 0.15641815 | Train Error: -0.86133973 | Test Error: -0.77857615 | Train Error_abs: 3.78047588 | Test Error_abs: 3.08451823
Epoch 101 | Train Loss: 0.16636445 | Test Loss: 0.15605618 | Train Error: -0.88285099 | Test Error: -0.76985104 | Train Error_abs: 3.76005924 | Test Error_abs: 3.08982469
Epoch 102 | Train Loss: 0.16619032 | Test Loss: 0.15560867 | Train Error: -1.08789147 | Test Error: -0.76048458 | Train Error_abs: 4.05136970 | Test Error_abs: 3.11030461
Epoch 103 | Train Loss: 0.16547787 | Test Loss: 0.15539157 | Train Error: -0.68376504 | Test Error: -0.74956525 | Train Error_abs: 3.85269070 | Test Error_abs: 3.11295713
Epoch 104 | Train Loss: 0.16529636 | Test Loss: 0.15519316 | Train Error: -0.99290331 | Test Error: -0.74747709 | Train Error_abs: 3.88559383 | Test Error_abs: 3.11079557
Epoch 105 | Train Loss: 0.16513666 | Test Loss: 0.15503996 | Train Error: -0.76467256 | Test Error: -0.74445454 | Train Error_abs: 3.95252978 | Test Error_abs: 3.10274518
Epoch 106 | Train Loss: 0.16440547 | Test Loss: 0.15464729 | Train Error: -0.93960938 | Test Error: -0.73692354 | Train Error_abs: 3.86471188 | Test Error_abs: 3.12442273
Epoch 107 | Train Loss: 0.16412225 | Test Loss: 0.15444619 | Train Error: -1.28082387 | Test Error: -0.72441381 | Train Error_abs: 4.18227096 | Test Error_abs: 3.13263124
Epoch 108 | Train Loss: 0.16377798 | Test Loss: 0.15419239 | Train Error: -0.82153930 | Test Error: -0.71374325 | Train Error_abs: 3.98434965 | Test Error_abs: 3.13959722
Epoch 109 | Train Loss: 0.16352894 | Test Loss: 0.15406904 | Train Error: -0.91379063 | Test Error: -0.71771520 | Train Error_abs: 4.03565231 | Test Error_abs: 3.12086548
Epoch 110 | Train Loss: 0.16337313 | Test Loss: 0.15373208 | Train Error: -0.89730050 | Test Error: -0.71241802 | Train Error_abs: 3.82176503 | Test Error_abs: 3.12588479
Epoch 111 | Train Loss: 0.16307549 | Test Loss: 0.15333354 | Train Error: -1.12606480 | Test Error: -0.69867046 | Train Error_abs: 3.93997318 | Test Error_abs: 3.15035170
Epoch 112 | Train Loss: 0.16261702 | Test Loss: 0.15311986 | Train Error: -0.83066978 | Test Error: -0.70159321 | Train Error_abs: 4.02258935 | Test Error_abs: 3.14560224
Epoch 113 | Train Loss: 0.16237919 | Test Loss: 0.15281610 | Train Error: -0.81600385 | Test Error: -0.70136419 | Train Error_abs: 3.87732831 | Test Error_abs: 3.14396198
Epoch 114 | Train Loss: 0.16216736 | Test Loss: 0.15252266 | Train Error: -0.82666951 | Test Error: -0.70369935 | Train Error_abs: 3.87206987 | Test Error_abs: 3.13988252
Epoch 115 | Train Loss: 0.16168091 | Test Loss: 0.15214090 | Train Error: -1.09088872 | Test Error: -0.70836058 | Train Error_abs: 3.97376057 | Test Error_abs: 3.14917649
Epoch 116 | Train Loss: 0.16160651 | Test Loss: 0.15218113 | Train Error: -0.86083849 | Test Error: -0.71613546 | Train Error_abs: 4.02674605 | Test Error_abs: 3.11923584
Epoch 117 | Train Loss: 0.16141924 | Test Loss: 0.15178955 | Train Error: -0.56053116 | Test Error: -0.70786621 | Train Error_abs: 4.22768519 | Test Error_abs: 3.14324551
Epoch 118 | Train Loss: 0.16123571 | Test Loss: 0.15162445 | Train Error: -0.97612145 | Test Error: -0.70206614 | Train Error_abs: 4.07616485 | Test Error_abs: 3.14601206
Epoch 119 | Train Loss: 0.16099848 | Test Loss: 0.15143771 | Train Error: -1.06089041 | Test Error: -0.70161909 | Train Error_abs: 3.89790716 | Test Error_abs: 3.14287158
Epoch 120 | Train Loss: 0.16068778 | Test Loss: 0.15107226 | Train Error: -0.97327649 | Test Error: -0.69298790 | Train Error_abs: 3.93538894 | Test Error_abs: 3.16864000
Epoch 121 | Train Loss: 0.16061958 | Test Loss: 0.15092799 | Train Error: -0.88707415 | Test Error: -0.70231986 | Train Error_abs: 3.89156923 | Test Error_abs: 3.15076214
Epoch 122 | Train Loss: 0.16038371 | Test Loss: 0.15082401 | Train Error: -0.80499264 | Test Error: -0.70575752 | Train Error_abs: 3.97262438 | Test Error_abs: 3.13440762
Epoch 123 | Train Loss: 0.16016148 | Test Loss: 0.15063148 | Train Error: -1.02529687 | Test Error: -0.69790872 | Train Error_abs: 4.06405410 | Test Error_abs: 3.14210889
Epoch 124 | Train Loss: 0.15969103 | Test Loss: 0.15028716 | Train Error: -0.72744808 | Test Error: -0.70086358 | Train Error_abs: 4.00467419 | Test Error_abs: 3.15346997
Epoch 125 | Train Loss: 0.15964478 | Test Loss: 0.14998626 | Train Error: -1.30832440 | Test Error: -0.70106232 | Train Error_abs: 4.16750963 | Test Error_abs: 3.15497281
Epoch 126 | Train Loss: 0.15916305 | Test Loss: 0.14980670 | Train Error: -1.08953643 | Test Error: -0.69922800 | Train Error_abs: 4.06789924 | Test Error_abs: 3.14998528
Epoch 127 | Train Loss: 0.15906222 | Test Loss: 0.14962499 | Train Error: -0.97831585 | Test Error: -0.70537250 | Train Error_abs: 4.06082639 | Test Error_abs: 3.14137918
Epoch 128 | Train Loss: 0.15880621 | Test Loss: 0.14939416 | Train Error: -1.23324537 | Test Error: -0.71118982 | Train Error_abs: 4.44625979 | Test Error_abs: 3.13601542
Epoch 129 | Train Loss: 0.15871919 | Test Loss: 0.14919506 | Train Error: -0.60815902 | Test Error: -0.71666205 | Train Error_abs: 4.09727226 | Test Error_abs: 3.13165602
Epoch 130 | Train Loss: 0.15843879 | Test Loss: 0.14887261 | Train Error: -1.56906024 | Test Error: -0.71596797 | Train Error_abs: 4.66151023 | Test Error_abs: 3.13959782
Epoch 131 | Train Loss: 0.15834364 | Test Loss: 0.14866886 | Train Error: -1.11371208 | Test Error: -0.71177288 | Train Error_abs: 4.20035967 | Test Error_abs: 3.13965007
Epoch 132 | Train Loss: 0.15787457 | Test Loss: 0.14831433 | Train Error: -1.04691047 | Test Error: -0.70570005 | Train Error_abs: 4.03466665 | Test Error_abs: 3.16498358
Epoch 133 | Train Loss: 0.15774450 | Test Loss: 0.14810124 | Train Error: -0.96131274 | Test Error: -0.71409648 | Train Error_abs: 3.99760504 | Test Error_abs: 3.15943239
Epoch 134 | Train Loss: 0.15744140 | Test Loss: 0.14781383 | Train Error: -1.41416405 | Test Error: -0.70603372 | Train Error_abs: 4.48628093 | Test Error_abs: 3.18416117
Epoch 135 | Train Loss: 0.15718904 | Test Loss: 0.14760908 | Train Error: -0.89460445 | Test Error: -0.71230369 | Train Error_abs: 4.19357521 | Test Error_abs: 3.19181485
Epoch 136 | Train Loss: 0.15688306 | Test Loss: 0.14737428 | Train Error: -1.44892815 | Test Error: -0.71203257 | Train Error_abs: 4.56686619 | Test Error_abs: 3.20393338
Epoch 137 | Train Loss: 0.15664914 | Test Loss: 0.14692772 | Train Error: -0.89813607 | Test Error: -0.70688717 | Train Error_abs: 4.17434628 | Test Error_abs: 3.23935150
Epoch 138 | Train Loss: 0.15642909 | Test Loss: 0.14650123 | Train Error: -1.11506912 | Test Error: -0.71504868 | Train Error_abs: 4.43207507 | Test Error_abs: 3.25208755
Epoch 139 | Train Loss: 0.15599327 | Test Loss: 0.14614582 | Train Error: -1.31993771 | Test Error: -0.70821920 | Train Error_abs: 4.30467680 | Test Error_abs: 3.27423615
Epoch 140 | Train Loss: 0.15585127 | Test Loss: 0.14570075 | Train Error: -0.78637332 | Test Error: -0.70747414 | Train Error_abs: 4.29102374 | Test Error_abs: 3.29652090
Epoch 141 | Train Loss: 0.15542307 | Test Loss: 0.14535075 | Train Error: -0.98214606 | Test Error: -0.70839465 | Train Error_abs: 4.32721874 | Test Error_abs: 3.31714220
Epoch 142 | Train Loss: 0.15507202 | Test Loss: 0.14498302 | Train Error: -1.39506370 | Test Error: -0.70339676 | Train Error_abs: 4.66139179 | Test Error_abs: 3.33083053
Epoch 143 | Train Loss: 0.15503242 | Test Loss: 0.14462936 | Train Error: -1.16184228 | Test Error: -0.69819384 | Train Error_abs: 4.39990353 | Test Error_abs: 3.34943413
Epoch 144 | Train Loss: 0.15454510 | Test Loss: 0.14406636 | Train Error: -1.04867801 | Test Error: -0.68573457 | Train Error_abs: 4.34989743 | Test Error_abs: 3.39247996
Epoch 145 | Train Loss: 0.15415744 | Test Loss: 0.14348265 | Train Error: -1.17619736 | Test Error: -0.67684843 | Train Error_abs: 4.49421089 | Test Error_abs: 3.43788382
Epoch 146 | Train Loss: 0.15392742 | Test Loss: 0.14292570 | Train Error: -0.91200943 | Test Error: -0.66407352 | Train Error_abs: 4.26331919 | Test Error_abs: 3.48030219
Epoch 147 | Train Loss: 0.15364967 | Test Loss: 0.14259574 | Train Error: -1.61658527 | Test Error: -0.66075920 | Train Error_abs: 5.19600068 | Test Error_abs: 3.49548141
Epoch 148 | Train Loss: 0.15322623 | Test Loss: 0.14220292 | Train Error: -0.91119046 | Test Error: -0.64787470 | Train Error_abs: 4.49312455 | Test Error_abs: 3.53313824
Epoch 149 | Train Loss: 0.15300982 | Test Loss: 0.14168428 | Train Error: -1.23252910 | Test Error: -0.63808622 | Train Error_abs: 5.07424754 | Test Error_abs: 3.56458864
Epoch 150 | Train Loss: 0.15244155 | Test Loss: 0.14105025 | Train Error: -1.06390087 | Test Error: -0.60186213 | Train Error_abs: 4.71114019 | Test Error_abs: 3.63162949
