Epoch 85 | Train Loss: 0.25174581 | Test Loss: 0.22487903 | Train Error: -0.66970835 | Test Error: -0.94913145 | Train Error_abs: 3.86136874 | Test Error_abs: 2.55830944
Epoch 86 | Train Loss: 0.25059222 | Test Loss: 0.22375230 | Train Error: -0.63393719 | Test Error: -0.94492910 | Train Error_abs: 3.62608258 | Test Error_abs: 2.57957379
Epoch 87 | Train Loss: 0.24997259 | Test Loss: 0.22285013 | Train Error: -0.61877927 | Test Error: -0.94385513 | Train Error_abs: 4.59544181 | Test Error_abs: 2.60777197
Epoch 88 | Train Loss: 0.24922183 | Test Loss: 0.22200956 | Train Error: -0.53824051 | Test Error: -0.93882736 | Train Error_abs: 3.98549504 | Test Error_abs: 2.61184360
Epoch 89 | Train Loss: 0.24802974 | Test Loss: 0.22080144 | Train Error: -0.22886040 | Test Error: -0.93112947 | Train Error_abs: 4.44014884 | Test Error_abs: 2.65051772
Epoch 90 | Train Loss: 0.24715769 | Test Loss: 0.22001376 | Train Error: -1.43191406 | Test Error: -0.92819017 | Train Error_abs: 4.19773025 | Test Error_abs: 2.67825458
Epoch 91 | Train Loss: 0.24659689 | Test Loss: 0.21938740 | Train Error: -0.80536928 | Test Error: -0.92559390 | Train Error_abs: 3.85315794 | Test Error_abs: 2.67831073
Epoch 92 | Train Loss: 0.24554913 | Test Loss: 0.21807171 | Train Error: -0.82913299 | Test Error: -0.91139218 | Train Error_abs: 3.72223661 | Test Error_abs: 2.71758011
Epoch 93 | Train Loss: 0.24472238 | Test Loss: 0.21686686 | Train Error: -0.80028327 | Test Error: -0.89950315 | Train Error_abs: 3.95594937 | Test Error_abs: 2.73241196
Epoch 94 | Train Loss: 0.24376734 | Test Loss: 0.21563474 | Train Error: -0.51368982 | Test Error: -0.89036546 | Train Error_abs: 3.75731808 | Test Error_abs: 2.75464825
Epoch 95 | Train Loss: 0.24298549 | Test Loss: 0.21450829 | Train Error: -1.07667152 | Test Error: -0.88386735 | Train Error_abs: 3.88252355 | Test Error_abs: 2.78439178
Epoch 96 | Train Loss: 0.24213851 | Test Loss: 0.21369583 | Train Error: -0.72466999 | Test Error: -0.87766855 | Train Error_abs: 4.13850710 | Test Error_abs: 2.80961510
Epoch 97 | Train Loss: 0.24128443 | Test Loss: 0.21344020 | Train Error: -1.37935517 | Test Error: -0.87976145 | Train Error_abs: 3.86937216 | Test Error_abs: 2.80333009
