Epoch 100 | Train Loss: 0.01885450 | Test Loss: 0.01744396 | Train Error: 0.63685336 | Test Error: 0.49535505 | Train Error_abs: 0.75295561 | Test Error_abs: 0.62195068
Epoch 101 | Train Loss: 0.01882410 | Test Loss: 0.01661495 | Train Error: 0.64433746 | Test Error: 0.53995767 | Train Error_abs: 0.75981524 | Test Error_abs: 0.65208111
Epoch 102 | Train Loss: 0.01891694 | Test Loss: 0.01673516 | Train Error: 0.64559776 | Test Error: 0.55866082 | Train Error_abs: 0.76125057 | Test Error_abs: 0.66990966
Epoch 103 | Train Loss: 0.01880344 | Test Loss: 0.01815962 | Train Error: 0.64356227 | Test Error: 0.51020649 | Train Error_abs: 0.75933178 | Test Error_abs: 0.64405797
Epoch 104 | Train Loss: 0.01877788 | Test Loss: 0.01700222 | Train Error: 0.63985111 | Test Error: 0.51194613 | Train Error_abs: 0.75516250 | Test Error_abs: 0.63254604
Epoch 105 | Train Loss: 0.01869516 | Test Loss: 0.01676870 | Train Error: 0.63916698 | Test Error: 0.50996466 | Train Error_abs: 0.75431786 | Test Error_abs: 0.63215451
Epoch 106 | Train Loss: 0.01870904 | Test Loss: 0.01689158 | Train Error: 0.63800652 | Test Error: 0.52732653 | Train Error_abs: 0.75320194 | Test Error_abs: 0.64505189
Epoch 107 | Train Loss: 0.01878005 | Test Loss: 0.01701524 | Train Error: 0.64154997 | Test Error: 0.56032034 | Train Error_abs: 0.75692086 | Test Error_abs: 0.66662057
Epoch 108 | Train Loss: 0.01854311 | Test Loss: 0.01666436 | Train Error: 0.63599824 | Test Error: 0.54831954 | Train Error_abs: 0.75090190 | Test Error_abs: 0.66110869
Epoch 109 | Train Loss: 0.01856023 | Test Loss: 0.01676039 | Train Error: 0.63596562 | Test Error: 0.50294765 | Train Error_abs: 0.75104935 | Test Error_abs: 0.62473741
Epoch 110 | Train Loss: 0.01862125 | Test Loss: 0.01660358 | Train Error: 0.63985196 | Test Error: 0.53857380 | Train Error_abs: 0.75487515 | Test Error_abs: 0.65467227
Epoch 111 | Train Loss: 0.01862525 | Test Loss: 0.01659790 | Train Error: 0.63816116 | Test Error: 0.49669138 | Train Error_abs: 0.75326579 | Test Error_abs: 0.61801412
