Epoch 88 | Train Loss: 0.04437503 | Test Loss: 0.03657976 | Train Error: -0.34870726 | Test Error: -17.64263539 | Train Error_abs: 9.19569281 | Test Error_abs: 27.03418776
Epoch 89 | Train Loss: 0.04399392 | Test Loss: 0.03621715 | Train Error: -0.25247816 | Test Error: -18.04184098 | Train Error_abs: 9.23849562 | Test Error_abs: 27.34041846
Epoch 90 | Train Loss: 0.04359784 | Test Loss: 0.03595607 | Train Error: -0.53732073 | Test Error: -17.70031198 | Train Error_abs: 9.47347083 | Test Error_abs: 26.96295441
Epoch 91 | Train Loss: 0.04323053 | Test Loss: 0.03554757 | Train Error: -0.12746657 | Test Error: -17.97503181 | Train Error_abs: 8.91279428 | Test Error_abs: 27.20063055
Epoch 92 | Train Loss: 0.04291608 | Test Loss: 0.03527142 | Train Error: -0.36524912 | Test Error: -17.97178038 | Train Error_abs: 9.56613350 | Test Error_abs: 27.16726700
Epoch 93 | Train Loss: 0.04254064 | Test Loss: 0.03500052 | Train Error: -0.18657795 | Test Error: -17.88055361 | Train Error_abs: 9.25350380 | Test Error_abs: 27.05387666
Epoch 94 | Train Loss: 0.04223289 | Test Loss: 0.03471457 | Train Error: -0.63796548 | Test Error: -18.09906868 | Train Error_abs: 9.16732427 | Test Error_abs: 27.14223337
Epoch 95 | Train Loss: 0.04198634 | Test Loss: 0.03441713 | Train Error: -0.57375296 | Test Error: -17.88781939 | Train Error_abs: 9.31158375 | Test Error_abs: 26.94394316
Epoch 96 | Train Loss: 0.04162305 | Test Loss: 0.03412924 | Train Error: -0.37279715 | Test Error: -18.01308974 | Train Error_abs: 9.29934493 | Test Error_abs: 26.99015279
Epoch 97 | Train Loss: 0.04124339 | Test Loss: 0.03380664 | Train Error: -0.49688424 | Test Error: -18.26079287 | Train Error_abs: 8.89401054 | Test Error_abs: 27.19222030
Epoch 98 | Train Loss: 0.04089714 | Test Loss: 0.03353838 | Train Error: -0.15639391 | Test Error: -18.25618590 | Train Error_abs: 9.27353663 | Test Error_abs: 27.15881113
Epoch 99 | Train Loss: 0.04062245 | Test Loss: 0.03327682 | Train Error: -0.25175134 | Test Error: -18.07326914 | Train Error_abs: 9.07576190 | Test Error_abs: 26.95293529
Epoch 100 | Train Loss: 0.04031715 | Test Loss: 0.03303990 | Train Error: 0.10000989 | Test Error: -18.34510873 | Train Error_abs: 9.12888908 | Test Error_abs: 27.08846284
Epoch 101 | Train Loss: 0.04006743 | Test Loss: 0.03271737 | Train Error: -0.24816697 | Test Error: -18.26932521 | Train Error_abs: 9.09971461 | Test Error_abs: 27.05015117
Epoch 102 | Train Loss: 0.03974934 | Test Loss: 0.03248762 | Train Error: -0.38598532 | Test Error: -18.43819216 | Train Error_abs: 8.87173316 | Test Error_abs: 27.14067014
Epoch 103 | Train Loss: 0.03939435 | Test Loss: 0.03219512 | Train Error: -0.49259496 | Test Error: -18.63466084 | Train Error_abs: 8.94106799 | Test Error_abs: 27.32613001
Epoch 104 | Train Loss: 0.03920048 | Test Loss: 0.03198286 | Train Error: -0.13011118 | Test Error: -18.59512215 | Train Error_abs: 8.77320584 | Test Error_abs: 27.20418305
Epoch 105 | Train Loss: 0.03886710 | Test Loss: 0.03175014 | Train Error: -0.54968433 | Test Error: -18.71309304 | Train Error_abs: 8.86504657 | Test Error_abs: 27.24032697
Epoch 106 | Train Loss: 0.03858088 | Test Loss: 0.03150118 | Train Error: -0.13409155 | Test Error: -18.49772677 | Train Error_abs: 8.47026835 | Test Error_abs: 26.97313334
Epoch 107 | Train Loss: 0.03836463 | Test Loss: 0.03122556 | Train Error: -0.21523146 | Test Error: -18.66766604 | Train Error_abs: 9.42224159 | Test Error_abs: 27.09281347
Epoch 108 | Train Loss: 0.03804836 | Test Loss: 0.03104525 | Train Error: -0.45438573 | Test Error: -18.64709996 | Train Error_abs: 8.92486215 | Test Error_abs: 27.02176375
Epoch 109 | Train Loss: 0.03783378 | Test Loss: 0.03077211 | Train Error: -0.19236841 | Test Error: -18.88139684 | Train Error_abs: 8.69549864 | Test Error_abs: 27.28313448
Epoch 110 | Train Loss: 0.03755810 | Test Loss: 0.03056178 | Train Error: -0.15234095 | Test Error: -18.72272299 | Train Error_abs: 8.96770426 | Test Error_abs: 27.03869297
Epoch 111 | Train Loss: 0.03737176 | Test Loss: 0.03031303 | Train Error: -0.03999777 | Test Error: -19.16357961 | Train Error_abs: 8.76539734 | Test Error_abs: 27.45649344
Epoch 112 | Train Loss: 0.03701337 | Test Loss: 0.03009789 | Train Error: -0.49428656 | Test Error: -19.08820780 | Train Error_abs: 8.91473473 | Test Error_abs: 27.32074660
Epoch 113 | Train Loss: 0.03676036 | Test Loss: 0.02992913 | Train Error: -0.46265025 | Test Error: -18.84609513 | Train Error_abs: 9.02962298 | Test Error_abs: 26.94853221
Epoch 114 | Train Loss: 0.03656859 | Test Loss: 0.02967591 | Train Error: -0.30430317 | Test Error: -18.78252937 | Train Error_abs: 8.67497745 | Test Error_abs: 26.90681607
Epoch 115 | Train Loss: 0.03630801 | Test Loss: 0.02944925 | Train Error: -0.32700631 | Test Error: -18.93290473 | Train Error_abs: 8.65689867 | Test Error_abs: 27.04145903
Epoch 116 | Train Loss: 0.03605203 | Test Loss: 0.02922936 | Train Error: -0.29083328 | Test Error: -19.04354920 | Train Error_abs: 8.59435320 | Test Error_abs: 27.03830106
Epoch 117 | Train Loss: 0.03585491 | Test Loss: 0.02905270 | Train Error: -0.34819741 | Test Error: -18.95872253 | Train Error_abs: 8.56112348 | Test Error_abs: 26.92133072
Epoch 118 | Train Loss: 0.03562352 | Test Loss: 0.02886559 | Train Error: -0.46172660 | Test Error: -19.05432467 | Train Error_abs: 8.45338254 | Test Error_abs: 27.02931398
